Class ID,Class Name,IoU (%)
0,road,97.4828833896346
1,sidewalk,80.34148438327698
2,building,91.245596047309
3,wall,59.78375425928978
4,fence,53.935325000279896
5,pole,45.45736153464315
6,traffic light,63.86893110161856
7,traffic sign,66.92131953132986
8,vegetation,91.0747307704161
9,terrain,65.10564124131152
10,sky,94.23769997893966
11,person,73.61774414680737
12,rider,18.09103033108753
13,car,92.59608948397349
14,truck,66.47448559805875
15,bus,72.22509445982396
16,train,33.88674509113128
17,motorcycle,53.86975937445039
18,bicycle,74.36958310276327

mIoU (%),68.13606625400763
Pixel Accuracy (%),94.88472516501247
