Class ID,Class Name,IoU (%)
0,road,97.45410757129507
1,sidewalk,80.07984719418953
2,building,91.0728610688937
3,wall,59.40798174009252
4,fence,52.8209528581332
5,pole,39.214212710910395
6,traffic light,63.23821082147987
7,traffic sign,65.06608622482861
8,vegetation,90.98986061879333
9,terrain,65.34285667248932
10,sky,94.13980510149675
11,person,72.87408845600474
12,rider,16.425763917897367
13,car,91.46119329601518
14,truck,45.54653488275503
15,bus,70.97388454191758
16,train,20.565525164362683
17,motorcycle,50.40180408458651
18,bicycle,73.59594015074038

mIoU (%),65.29850089878325
Pixel Accuracy (%),94.6747238375474
