Class ID,Class Name,IoU (%)
0,road,97.37746862221222
1,sidewalk,79.67343409930265
2,building,91.10505662913913
3,wall,59.667515762495306
4,fence,52.529795108532774
5,pole,40.62353839843622
6,traffic light,62.53478099431719
7,traffic sign,65.25131661162189
8,vegetation,90.95363011135841
9,terrain,65.35871280846484
10,sky,94.13928788538948
11,person,72.68819942968014
12,rider,14.670903268372198
13,car,90.90236452382902
14,truck,25.704261247791223
15,bus,73.00666852347089
16,train,20.502282109080358
17,motorcycle,51.24845532819143
18,bicycle,73.02289335830662
,mIoU (%),64.26108235894695
,Pixel Accuracy (%),94.5985884042519
