Class ID,Class Name,IoU (%)
0,road,97.56761394396278
1,sidewalk,80.79672453214101
2,building,91.13732167770398
3,wall,63.36754758725548
4,fence,54.113052841195
5,pole,44.90085623552957
6,traffic light,64.2410689844271
7,traffic sign,67.76866762069744
8,vegetation,91.0232855076001
9,terrain,64.70532034179978
10,sky,94.2917506519643
11,person,73.76190642086445
12,rider,19.662959048092755
13,car,92.60381078497714
14,truck,68.03886843648814
15,bus,72.38713349241614
16,train,36.366631850047455
17,motorcycle,54.13788843592422
18,bicycle,74.03218639634272
,mIoU (%),68.67918919944366
,Pixel Accuracy (%),94.92792156778422
