Class ID,Class Name,IoU (%)
0,road,96.77994257404825
1,sidewalk,75.47454984451863
2,building,89.76336397453272
3,wall,57.99088671699789
4,fence,49.28715867833488
5,pole,8.440279020493373
6,traffic light,60.5053142980318
7,traffic sign,50.13627014618718
8,vegetation,89.48432055321615
9,terrain,60.985171102661596
10,sky,92.98041574135392
11,person,71.7259255572132
12,rider,13.139682873044208
13,car,90.75304780321886
14,truck,32.84378800716606
15,bus,76.10161149001888
16,train,40.04957414420536
17,motorcycle,57.19302277070118
18,bicycle,72.26671092433342
,mIoU (%),62.41584401159357
,Pixel Accuracy (%),93.64090138863055
