Class ID,Class Name,IoU (%)
0,road,96.77625190101658
1,sidewalk,75.2529098836006
2,building,89.6527731298851
3,wall,57.78551381447383
4,fence,48.0492684092737
5,pole,9.059162930587194
6,traffic light,59.12550526869866
7,traffic sign,50.1153425052155
8,vegetation,89.39841943727568
9,terrain,60.10066503078655
10,sky,92.94341876430136
11,person,71.39403725394696
12,rider,10.546182189940847
13,car,90.06439813480979
14,truck,14.41891574848385
15,bus,73.19349246461506
16,train,27.28437161013291
17,motorcycle,54.843242592884764
18,bicycle,71.39170235073294

mIoU (%),60.07345123266642
Pixel Accuracy (%),93.51263189198359
