Class ID,Class Name,IoU (%)
0,road,97.58635410971533
1,sidewalk,81.19443995937199
2,building,91.38203034152357
3,wall,60.3453040116978
4,fence,54.54152008637955
5,pole,48.99963614942354
6,traffic light,64.15285480373461
7,traffic sign,68.68083990421744
8,vegetation,91.21202424407207
9,terrain,65.74324066518497
10,sky,94.29599883776127
11,person,74.57124878268885
12,rider,28.902022965720516
13,car,91.97649100127539
14,truck,67.78648199296316
15,bus,70.95789500609922
16,train,39.74884082446975
17,motorcycle,44.5223325629534
18,bicycle,74.4705250352039
,mIoU (%),69.0036884886556
,Pixel Accuracy (%),94.9910953213071
