Class ID,Class Name,IoU (%)
0,road,97.6366017525459
1,sidewalk,80.95196868637244
2,building,91.08444070864746
3,wall,62.74447454105171
4,fence,53.83892115317859
5,pole,43.74675309124602
6,traffic light,64.30412155074168
7,traffic sign,65.95586740146139
8,vegetation,90.93173305413879
9,terrain,64.0475784323903
10,sky,94.22644103165638
11,person,73.36937526836354
12,rider,16.844118861996986
13,car,92.63401199417413
14,truck,67.22190328194554
15,bus,72.11112038505412
16,train,33.75270521605305
17,motorcycle,56.17808354096684
18,bicycle,74.21263546479466
mIoU (%),68.19962396930418
Pixel Accuracy (%),94.90837746893018
